name,email,age,country,university,department,degree
 Sri  Chen,SriChen7915@gmail.com,26, Germany,University of  Wisconsin - Madison,CSE,BR
 Monica  Chen,MonicaChen7563@gmail.com,28, China,University of  Washington, Maths,BR
 Sri  Wang,SriWang2070@gmail.com,21, Japan,University of  Texas - Austin, ECE,BR
 Binny  Greene,BinnyGreene132@gmail.com,26, UK,University of  Washington,CSE, PhD
 Stuart  Singh,StuartSingh8452@gmail.com,26, France,University of California - Santa Barbara, Data Science, MS
 Joe Shah,JoeShah9809@gmail.com,23, UK,University of  California - San Diego, Data Science,BR
 Rachel  Lee,RachelLee2298@gmail.com,22, Japan,University of Michigan, ECE, PhD
 Joe  Chen,JoeChen7660@gmail.com,24, USA,University of  Washington, ECE, MS
 Melissa  Chan,MelissaChan3191@gmail.com,22, Mexico,University of Michigan, ECE, PhD
 Sri  Smith,SriSmith4496@gmail.com,25, Greece,University of  California - Santa Cruz, ECE,BR
 Binny  Wang,BinnyWang2444@gmail.com,22, France,University of  Pennsylvania, ECE,BR
 Melissa  Chan,MelissaChan208@gmail.com,27, France,University of  Wisconsin - Madison,CSE, MS
John  Singh,JohnSingh1740@gmail.com,22,India,University of  Texas - Austin, ECE, MS
 Melissa  Wang,MelissaWang2041@gmail.com,21, China,University of  Washington, Maths, MS
 Binny  Watson,BinnyWatson9112@gmail.com,20, Spain,University of California - Los Angeles, ECE, PhD
 Oliver  Watson,OliverWatson95@gmail.com,26, UK,University of  Texas - Austin, Maths, PhD
 Sri  Chan,SriChan1999@gmail.com,23,India,University of Michigan, Bioinformatics,BR
 Joe  Lee,JoeLee5680@gmail.com,26, USA,University of California - Santa Barbara, Maths, PhD
 Stuart  Greene,StuartGreene3989@gmail.com,27, Mexico,University of California - Los Angeles, Data Science,BR
 Melissa  Chan,MelissaChan1522@gmail.com,24, Greece,University of California - Santa Barbara, Bioinformatics, PhD
 Melissa  Watson,MelissaWatson6359@gmail.com,23, UK,University of California - Los Angeles, CE,BR
 Melissa  Smith,MelissaSmith1982@gmail.com,22, China,University of Michigan, ECE,BR
 Stuart  Wang,StuartWang6058@gmail.com,24, Japan,University of California - Los Angeles, Maths,BR
John  Chan,JohnChan2761@gmail.com,20, Greece,University of  Texas - Austin, Data Science, PhD
 Joe  Chen,JoeChen822@gmail.com,24, Spain,University of  California - San Diego,CSE, PhD
 Monica  Watson,MonicaWatson3320@gmail.com,26, Mexico,University of  Texas - Austin, Bioinformatics, MS
